Position,Players,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG %,2PM,2PA,2PT%,3PM,3PA,3PT %,FTM,Scoring Rating,Rebound Rating,Assist Rating,Steal Rating,Block Rating,Efficiency Rating,2-Pointer Rating,3-Poimter Rating,Overall Rating
SG,Anthony Edwards,20.4,4.7,4,1.7,0.7,8.9,10.4,85.58%,6,6.9,86.96%,2.9,3.5,82.86%,0.5,17.28,17.04,11.5,10.63,6.13,17.12,16.3,14.3,55.15
PF,Bol Bol,17.8,6.9,3.7,0.8,1.8,7.4,8.6,85.81%,5.1,5.4,92.86%,2.3,3.2,73.68%,0.6,15.34,19.73,13.29,6.81,11.28,14.21,14.67,14.33,54.83
PG,Jason Kidd,11.3,5.3,7.9,4.9,0.6,4.3,5.2,81.41%,1.8,2.1,88.46%,2.4,3.2,76.86%,0.3,9.16,21.05,19.74,24.61,5.53,8.2,5.02,11.2,52.25
SG,Allen Iverson,19.3,2.4,5,3.1,0.3,7.6,9.5,80.08%,4.2,4.9,85.71%,3.4,4.6,73.08%,0.6,15.5,8.7,14.38,19.38,2.63,14.62,14.06,14.79,52.02
SG,Jalen Green,21.3,3.5,3.8,1.7,0.5,8,9.5,83.50%,3.3,3.8,85.51%,4.7,5.7,82.14%,0.7,17.89,12.62,10.86,10.65,4.38,15.31,8.76,22.91,51.69
PF,Jonathan Isaac,11.1,6.9,4.1,1.4,3.3,5,5.9,84.36%,4.1,4.6,89.89%,0.9,1.3,65.45%,0.3,9.4,19.7,14.85,12.38,20.88,9.62,11.58,4.79,51.6
PF,LaMarcus Aldridge,17.5,7.2,3,0.5,1.9,7.3,8.8,82.81%,5.6,6.2,90.32%,1.7,2.6,64.62%,1.2,15.33,20.7,10.88,4.38,11.88,14.04,15.81,9.15,51.08
SG,Reggie Miller,19.5,1.9,5.2,2.8,0.4,7.1,9,80.59%,2.1,2.7,79.40%,5,6.3,78.65%,0.4,15.43,6.89,14.95,17.5,3.5,13.65,6.58,23.31,50.91
PF,Boris Diaw,16.1,5.3,4.5,0.5,1.3,6.3,7.4,84.75%,2.8,2.8,99.26%,3.5,4.6,75.80%,0.4,13.48,15.15,16.46,4.56,8.07,12.02,8.66,21.84,50.13
C,DeMarcus Cousins,16,7.1,3.1,0.8,1.3,7,7.9,88.76%,5.4,5.8,92.88%,1.6,2.1,77.06%,0.7,14.49,17.78,12.45,7.74,6.42,13.46,15.72,11.63,49.84
C,DeAndre Jordan,15,9.6,2,0.2,3.3,6.9,7.7,90.00%,6.5,6.9,94.20%,0.4,0.8,56.52%,0.7,13.76,24,8,2,16.5,13.27,19.13,2.15,49.41
SF,Richard Jefferson,19.4,3.4,3.2,1,0.7,7.4,9,85.43%,3.1,3.9,81.56%,4.3,5.2,82.64%,0.4,16.29,11.05,10.4,7.5,5.25,14.23,8,25.15,48.93
C,Nicolas Batum,10.4,5.9,5.6,1,2.6,4.3,4.8,89.02%,2.8,2.9,96.12%,1.5,1.9,78.57%,0.3,9.16,14.65,22.56,10,13.19,8.23,8.26,11.43,48.74
PG,Derrick Rose,16.4,2.9,6.1,2.6,0.5,6.4,7.6,83.73%,4.2,4.7,89.36%,2.2,2.9,75.00%,1.2,14.6,11.6,15.25,13,5,12.31,14.66,9.82,48.12
PG,Russell Westbrook,14.1,3.2,7.8,2.9,0.4,5.7,7,80.95%,3.5,3.8,92.11%,2.2,3.2,70.19%,0.5,11.52,12.8,19.5,14.5,4,10.96,12.59,9.19,47.53
SF,Jalen Johnson,17.4,4.3,3.7,0.8,0.9,6.7,7.9,84.75%,3.4,3.8,89.36%,3.3,4.1,80.40%,0.8,15.13,13.86,12.01,5.82,6.43,12.87,9.57,18.75,47.22
C,Rudy Gobert,11.8,8.8,3.2,0.4,3.6,5.4,6.1,88.31%,5,5.4,93.31%,0.4,0.8,53.66%,0.7,10.89,22.12,12.75,3.58,17.83,10.41,14.58,2.12,47.15
PF,Jonathan Kuminga,15.4,4.9,4.1,0.7,0.9,6.1,7.1,85.90%,3.5,4,87.50%,2.6,3.1,83.09%,0.8,13.62,14.09,14.86,6.13,5.63,11.73,9.57,18,46.81
PG,Isiah Thomas,10.8,2.8,10.2,3.6,0.4,4.1,4.8,83.70%,2.1,2.3,91.01%,1.9,2.5,76.84%,0.3,9.02,11.16,25.53,18.03,3.95,7.79,7.58,8.79,45.92
SG,Jaylen Brown,19.6,2.5,3.2,1,0.4,7.1,8.1,87.59%,1.9,2,92.23%,5.2,6,86.04%,0.3,16.67,9.1,9.19,6.25,3.26,13.57,6.71,26.61,45.68
SF,Jimmy Butler,17.1,3.7,4.3,0.7,0.5,6.8,8.1,84.15%,3.7,4.2,88.89%,3.1,3.9,79.04%,0.4,14.26,11.94,13.83,5.06,3.84,13.06,10.34,17.33,44.83
PF,Andrei Kirilenko,15.3,5.2,4.2,0.6,1.2,6.5,8.7,75.09%,4.7,6.3,74.60%,1.8,2.4,75.64%,0.6,11.71,14.95,15.23,5.25,7.5,12.5,10.96,11.35,44.72
SG,J.R Smith,17.5,3.2,4,0.8,0.5,6.4,7.3,87.75%,2.4,2.5,94.26%,4,4.8,84.28%,0.4,15.13,11.48,11.5,5.08,4.74,12.34,8.82,20.17,44.63
SF,Robert Covington,17.3,3.4,3.3,0.5,0.8,6.5,7.5,86.70%,3,3.3,90.91%,3.5,4.2,82.08%,0.8,15.31,11.05,10.73,3.75,6,12.5,8.52,20.52,44.19
C,Zydrunas Ilgauskas,11.6,7.1,3.4,0.6,1.9,5,5.5,91.11%,3.7,3.7,100.00%,1.3,1.8,75.86%,0.4,10.58,17.75,13.6,6,9.5,9.62,11.56,9.39,44
C,Yao Ming,13.7,7.3,3.3,0.3,1.8,6.3,7,89.59%,6,6.5,91.71%,0.3,0.5,68.18%,0.8,12.69,18.25,13.2,3,9,12.12,17.11,2.14,43.75
PF,Antawn Jamison,15.3,4.3,2.9,0.2,1.2,6,7,86.04%,2.6,2.9,89.66%,3.4,4.1,82.05%,0.3,12.94,12.36,10.51,1.75,7.5,11.54,7.28,23.25,43.57
PG,Walt Frazier,17,2.4,7.2,1.7,0.2,6.6,9,73.47%,4.1,5.9,69.70%,2.5,3.1,80.57%,1.1,13.24,9.6,18,8.5,2,12.69,11.27,11.8,43.55
PF,Bobby Portis,11.6,6.9,3.1,0.3,2.5,4.7,5.8,82.05%,3.1,3.4,92.31%,1.6,2.4,67.69%,0.4,9.6,19.7,11.28,2.59,15.74,9.12,8.97,9.19,43.1
PG,Jerry West,11.1,2.9,9.8,2.6,0.2,4.2,5.1,82.24%,2,2.2,90.91%,2.2,2.9,75.86%,0.6,9.46,11.6,24.5,13,2,8.08,7.1,9.93,42.84
PF,Brook Lopez,12.5,6.6,2.6,0.3,2.4,5.1,6,84.65%,3.6,4,90.21%,1.5,2,73.61%,0.6,10.84,18.93,9.47,2.43,15.1,9.72,10.1,9.03,42.81
